molregno,canonical_smiles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,NOCount,NumSaturatedRings,NumAromaticCarbocycles,NHOHCount,RingCount,NumRotatableBonds,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumHeteroatoms,NumAliphaticRings,FractionCSP3,HeavyAtomCount,NumAromaticRings,NumHAcceptors,NumHDonors
1480734,CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@@H]3CC(=O)N(C(=O)N3Cc4ccccc4)c5cc(C)cc(C)c5,3,3,0,8,3,2,0,5,5,0,0,8,3,0.48148,35,2,6,0
1480720,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccccc3Br,0,0,0,4,0,3,1,3,5,0,0,5,0,0.10000,25,3,3,1
1480721,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(Br)cc3,0,0,0,4,0,3,1,3,5,0,0,5,0,0.10000,25,3,3,1
1480722,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(cc3Br)C#N,0,0,0,5,0,3,1,3,5,0,0,6,0,0.09524,27,3,4,1
1480723,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3cccc(c3)[N+](=O)[O-],0,0,0,7,0,3,1,3,6,0,0,7,0,0.10000,27,3,5,1
1480735,CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@@H]3CC(=O)N(Cc4ccccc4)C(=O)N3Cc5ccccc5,3,3,0,8,3,2,0,5,6,0,0,8,3,0.46154,34,2,6,0
1480724,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(cc3)[N+](=O)[O-],0,0,0,7,0,3,1,3,6,0,0,7,0,0.10000,27,3,5,1
1480725,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccccc3O,0,0,0,5,0,3,2,3,5,0,0,5,0,0.10000,25,3,4,2
1480726,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(O)cc3,0,0,0,5,0,3,2,3,5,0,0,5,0,0.10000,25,3,4,2
1480727,C\C(=N/NC(=O)COc1cccc2ccccc12)\c3ccc(O)cc3O,0,0,0,6,0,3,3,3,5,0,0,6,0,0.10000,26,3,5,3
1480736,CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@@H]3CC(=O)N(C(=O)N3Cc4ccccc4)c5ccc(C)c(Cl)c5,3,3,0,8,3,2,0,5,5,0,0,9,3,0.46154,35,2,6,0
1480728,CC(C)OC(Cc1ccc(OCCc2noc(n2)C3CCCCC3)cc1)C(=O)O,0,0,1,7,1,1,1,3,10,1,1,7,1,0.59091,29,2,6,1
1480729,CC(C)Cc1ccc(cc1)c2onc(COc3ccc(CC(OC(C)C)C(=O)O)cc3)n2,0,0,0,7,0,2,1,3,11,1,0,7,0,0.40000,32,3,6,1
