Hit,Smiles
1345914,CC(C)Cc1ccc(cc1)C(C)c2nc3cc(OCc4ccc5ccccc5n4)ccc3n2Cc6ccccc6Cl
1345915,CC(C)Cc1ccc(cc1)C(C)c2nc3cc(Cl)ccc3n2Cc4ccccc4
1345916,CC(C)Cc1ccc(cc1)C(C)c2nc3cc(Cl)ccc3n2Cc4ccccc4Cl
1345917,[Na+].[11CH3]\C=C(/C)\C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@@H]12
1345918,CNc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345919,CCCNc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345920,CC(C)Nc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345922,CC(C)CNc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345923,Nc1nc(NC2CCCC2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345924,Nc1nc(NC2CCCCC2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345925,Nc1nc(NCc2ccccc2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345926,CN(C)c1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345927,Nc1nc(N2CCCC2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345928,Nc1nc(N2CCOCC2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345929,CCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345930,CCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345931,Nc1nc(OCC=C)c2ncn(\C=C/3\CC3(CO)CO)c2n1
1345932,CCCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345933,CCCCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345934,CCCCCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345935,CCCCCCCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345965,CN(C)c1ccc(cc1)N=Nc2nc3ccc([125I])cc3s2
1345936,Nc1nc(OCC(F)(F)F)c2ncn(\C=C/3\CC3(CO)CO)c2n1
1345937,COCCOc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345938,Nc1nc(OCc2ccccc2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345939,CSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345940,CCCSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345941,CC(C)Sc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345942,CCCCSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345943,CC(C)CSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345944,Nc1nc(SC2CCCC2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345945,CCCCCCSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345946,CCCCCCCCSc1nc(N)nc2c1ncn2\C=C/3\CC3(CO)CO
1345947,Nc1nc(SCc2ccccc2)c3ncn(\C=C/4\CC4(CO)CO)c3n1
1345948,[11CH3]N1CC2CN(CC12)c3ccc(nc3)c4ccc5[nH]ccc5c4
1345949,CN1C[C@@H]2CN(C[C@H]12)c3ccc(nc3)c4ccc5[nH]ccc5c4
1345995,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6cncnc6
1345950,CN1C[C@H]2CN(C[C@@H]12)c3ccc(nc3)c4ccc5[nH]ccc5c4
1345951,COc1ccc(cc1)[C@H]2C[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]4CCc5cc(O)ccc5[C@@H]24
1345952,C[C@]12C[C@@H]([C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O)c5ccc(OCCOCCOCCN=[N+]=[N-])cc5
1345953,CN(C)c1ccc(cc1)N=Nc2nc3ccc(OCCOCCOCCF)cc3s2
1345954,CN(C)c1ccc(cc1)N=Nc2nc3ccc(OCCOCCOCC[18F])cc3s2
1345955,CC(C)(C)OC(=O)N1CCCN(CC(=O)NC2C3CC4CC(CC2C4)C3)S1(=O)=O
1345956,O=C(CN1CCCN(Cc2ccccc2)S1(=O)=O)NC3C4CC5CC(CC3C5)C4
1345957,O=C(CN1CCCN(CCc2ccccc2)S1(=O)=O)NC3C4CC5CC(CC3C5)C4
1345958,O=C(CN1CCCN(c2ccccc2)S1(=O)=O)NC3C4CC5CC(CC3C5)C4
1345959,O=C(CN1CCCN(c2ccccc2)S1(=O)=O)NC34CC5CC(CC(C5)C3)C4
1345960,OC(=O)CN1CCCN(c2ccccc2)S1(=O)=O
1345961,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5ccccc5)S4(=O)=O)C(C3)C2
1345962,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5ccccc5F)S4(=O)=O)C(C3)C2
1345963,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5cccc(F)c5)S4(=O)=O)C(C3)C2
1345964,CN(C)c1ccc(cc1)N=Nc2nc3ccc(I)cc3s2
